                       Manchete                       Valência (%)
Novo rotativo do cartão entra em vigor hoje.                 90.62
País deve arrecadar R$ 24 bilhões com pré-sal.               85.90
Lucro cresce, mas serviço de água e esgoto da Cedae fica e   92.83
TSE tem sido contra separação de chapa.                       9.59
Candidato de Correa lidera apuração.                         98.31
Venezuela já fez 58 ataques à Assembleia.</p                 27.39
Regra gera abismo entre datas de aposentadorias.             90.95
Equador deixa governista em 1º após 94% dos votos apurados   82.03
Para Maduro, Mercosul critica de forma seletiva.             50.00
Temor de mais repressão esvazia ruas de Assunção.             2.23
Doria zera fila de exames, e outra surge em seu lugar.       50.00
TST defende fim de cobrança obrigatória do imposto sindica   50.00
Ações da Lava-Jato pedem R$ 70 bilhões de indenização.       97.75
Candidato de Correa vence no Equador, diz apuração oficial   94.23
Entra em vigor regra que limita juro do cartão.              87.35
Pão de Açúcar foca no atacarejo.                             50.00
Analistas já preveem dívida bruta acima de 80% do PIB.       19.72
Governo estuda outras medidas para previdência.              85.49
PIB já se afastou da política, diz CEO da Bosch.             50.00
Segurança nacional dos EUA ameaça comércio.                  50.00
As gigantes se conectam às startups.                         50.00
Deloitte usa fraude no Brasil para reforçar política de to   80.15
Google dá 84 dias de licença paternidade.                    50.00
Proprietário já oferece até aluguel grátis por três meses.   23.51
Planalto mapeia votos para evitar traições.                  25.59
As flechas de Janot.                                         50.00
Jacob Barata Filho é preso.                                  50.00
Trump volta a "socar" a imprensa.                            21.98
A luta pela vida do bebê baleado.                            50.00
Missão de fé: O padre da Cracolândia.                        50.00
Apoio à esquerda sobe e repõe empate ideológico.             81.99
Mauro Paulino: Pesquisa mostra desalento e medo da socieda   50.00
Tucanos criam dificuldades para Doria na Câmara.             23.23
JBS usava rede de mercados para ter dinheiro vivo.           90.89
Delfim Netto: Brasil deixou poder privado controlar o pode   50.00
Tiroteio em frente a mesquita fere ao menos 8 na França.      9.52
Crescem juros de crédito pessoal e de renegociação.          50.00
Luiz Felipe Pondé: É preciso pensar na longevidade para al   71.73
Gasto federal deve crescer o dobro do permitido pela lei.    50.00
Nenhum partido apoio a Temer.                                 3.09
OMS quer que vício em games seja distúrbio psiquiátrico.     27.39
Trump faz vídeo de ataque à CNN.                             50.00
Do vinho de garrafão a prêmios no exterior.                  80.00
Arrecadação de impostos cai mais e dificulta ajuste.          2.06
São Paulo dá sequência à venda da Cesp.                       9.52
EUA autorizam confisco de bens da Venezuela.                 50.00
Bancosw vão ao MPF fazer consulta sobre leniência.           74.52
Estée Lauder vê expansão no Brasil no longo prazo.           92.34
PSDB apoia Temer para salvar Aécio, diz Reale.               50.00
De volta ao país, Joesley falará de novo à PGR.              88.49
A primeira sentença pela "ganância desmedida".               15.87
Vítimas da crise e da corrupção tentam sobreviver.           23.74
Em busca de apoio, Temer negocia dívida de Estados.          97.74
Supremo mantém irmã de Aécio na cadeia.&nbsp;                20.08
Cunha depõe hoje em inquérito sobre Temer.                   70.66
Contra a censura, notícias viajam.                           50.00
Com FGTS, varejo volta a crescer.                            90.31
Entidades repudiam agressão a Míriam.                         9.09
Tecnologia no dia a dia.                                     27.39
Escândalo afasta dirigente do Uber.                          80.06
Crivella e o samba: Zero em harmonia.                        76.17
Sérgio Cabral é condenado a 14 anos na Lava-Jato.            68.04
STF deve julgar pedido de prisão de Aécio no dia 20.         99.30
Marcelo Coelho: Toda a sociedade está em processo de desmo   50.00
Varejo surpreende e interrompe dois anos de retração.         5.92
Temer prevê livros sem a versão final da vase curricular.    50.00
Venezuela impede ativistas presos de contatarem defesa.      50.00
Instituto de Gilmar teve patrocínio de R4 2,1 mi da J&amp;   27.39
Joesley retorna ao país e diz que não passeava em NY.        50.00
Senado se recusa a afastar Aécio; STF mantém irmã presa.      0.87
Joesley está no país desde domingo.                          80.00
Relator quer MP do Refis mais favorável a empresas.          76.35
Moro condena Cabral a 14 anos de prisão por corrupção.        4.18
Rotina precária nos hospitais universitários do interior d   50.00
A um ano da Copa, só Rússia, Brasil e Irã estão garantidos   50.00
Coreia do Norte liberta americano.                           50.00
Azul amplia frota e oferta de voos.                          78.86
Incêndio em Londres.                                         27.39
TLP provoca discórdias entre economistas e no governo        83.44
Adiado o fim da "novela" do déficit fiscal                   50.00
Alternativas para privatizar distribuidoras                  50.00
Cunha e Palocci frustram investigadores                      50.00
Pressão de aliados dificulta a revisão do rombo fiscal       50.00
Câmara tenta driblar fim das coligações                      28.51
Direito de ir e vir à mercê do tráfico                       50.00
Trump fala, mas não convence                                 50.00
Rio em crise tem um PM morto a cada dois dias                 5.88
Disputa entre alas do governo adia anúncio da nova meta fi   50.00
JBS divulga lucro 80% menor após acordo de delação           50.00
Relator recebia votos prontos, diz delator da Zelotes        92.08
MPF diz que Joesley omitiu crime e quer cobrar R$ 1 bi       50.00
Insegurança afeta 1 em 3 empresas                            80.64
Governo quer elevar alíquota previdenciária de servidores    50.00
Sob pressão, Fazenda adia anúncio da meta                    50.00
Depois de porto e aeroporto, governo privatiza ferrovia.     50.00
Temer pode dobrar gaixa de isenção do IR.                     5.74
"Sucessão em 2018 dificulta retomada", diz Armínio Fraga.    50.00
XP quer ser líder em cinco anos.                             77.53
Europol alerta para novo ciberataque.                        97.92
Tribunal é mais duro que Moro.                               50.00
A gestão incomum de Norberto na DPaschoal.&nbsp;             50.00
Estados vão privatizar empresas de gás natural.              78.80
Guerras entre traficantes provocam êxodo em favelas.         23.30
É isso mesmo, Temer?                                         50.00
Conflito entre órgãos pode frear delações.                   50.00
Macron promete um "renascimento".                            50.00
Números mostram baixa eficácia da polícia paulista.          50.00
Guido Mantega: Perdi minha reputação, minha vida virou um    50.00
Conta para o PT teve R$ 324 milhões da Odebrecht, dizem de   50.00
Reformas elevam dispersão na base de apoio a Temer.          50.00
Bolsonaro, em 1987, admitiu ato de indisciplina.             50.00
Ruy Castro: Sem matemática, ninguém enfrentará mundo ciber   50.00
Garços temem perder renda com nova lei das gorjetas.          6.09
Procuradores preparam novo inquérito contra Lula.            87.13
Empreiteiros serãoouvidos sobre ações na América Latina.     50.00
Presidente do BNDES diz que banco quer saber se foi usado.   50.00
"Itaú não vai interferir", diz dono da XP.                   50.00
Macron faz promessa de "França forte".                       90.63
Mãe recupera guarda de filho levado aos EUA.                 50.00
Gato com fuzi em SP cresce 73 vezes,                         50.00
Ataque cibernético já atige 150 países.                      27.39
Lista de Janot tem cinco ministros, Maia e Eunício.          50.00
Governo define proposta para umaq nova TJLP.                 91.76
Mais tempo para votar a Previdência.                         26.48
Arrecadação teve alta real em fevereiro.                     96.11
Takeda muda comando no Brasil e mira aquisições.             50.00
A nova aposta da JBS nos EUA.                                99.21
Alemanha propõe rigor e multa para notícia falsa.            82.27
Lista de Janot inclui Lula, Dilma, Aécio, Serra, Maia, Eun   50.00
"Estamos na guerra", diz senador.                            50.00
